,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
CTD-2124B8.2,18.51656830207095,0.10162909261143581,0.18470432567874054,0.55022583925945,0.582164482825321,0.7143591435075988,False
RNU6-1111P,2.065977897731617,0.2546909106520008,0.4628290341800324,0.5502915587463565,0.5821194130516401,0.7143591435075988,False
NSUN5P2,3.375657324502728,-0.21281475701304828,0.38676850751228947,-0.5502380697484428,0.5821560951535841,0.7143591435075988,False
RP11-380G5.3,19.224016635707066,-0.09442348205964698,0.17165019827241965,-0.5500924730060084,0.5822559490913548,0.714441693890888,False
RP11-627G18.2,1.5161335602917028,0.32476405641193995,0.590583157177584,0.5499040270027304,0.5823852020132811,0.7145463174468605,False
RP11-148K1.12,2.602867716265582,0.2585385344561034,0.4701877535594343,0.549862331587551,0.5824138022234653,0.7145463174468605,False
RPL39P26,2.7778697306667954,0.2558851442324335,0.46534337717864555,0.5498845729445057,0.5823985460883886,0.7145463174468605,False
RP11-613M10.9,7.089957799475035,0.1374129563729817,0.25006975940295073,0.549498494744264,0.5826633972971895,0.7147399561712783,False
MIR3136,2.3041749537689618,-0.23899092332585928,0.43491031514587775,-0.5495177166485391,0.5826502096635544,0.7147399561712783,False
CTB-33O18.3,4.036289829159513,-0.17170880738296757,0.3124869439494543,-0.5494911410146529,0.5826684425309334,0.7147399561712783,False
CBWD7,4.939776281220058,0.1694814654573661,0.30842743150986024,0.5495019189042135,0.5826610480625727,0.7147399561712783,False
RN7SL789P,1.6684613745665398,0.29316422820424803,0.5336079591772097,0.54940002892065,0.5827309542455094,0.7147869471996338,False
LARGE-AS1,16.530408031802605,-0.10069882276341836,0.18333862510739277,-0.5492504522952152,0.5828335850722284,0.7147940794997114,False
DGKZP1,6.387125950408763,-0.14551930430663948,0.2649175013176452,-0.549300456115041,0.5827992744056767,0.7147940794997114,False
PRH2,5.737202476464098,-0.16079756706553014,0.29274832424253944,-0.5492689581796231,0.582820886947885,0.7147940794997114,False
SPIDR,764.3105597400889,0.026473552690914556,0.04819305446665689,0.5493229882167086,0.582783814066275,0.7147940794997114,False
