,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
KCNG2,10.268624790033371,0.25555020482188145,0.20506493209391605,1.2461916438489056,0.21269404608646836,0.34265310208936856,False
G11405,2.890727170137203,-0.4532540659730859,0.36372155058046274,-1.2461567516407492,0.2127068531534192,0.34265613165311687,False
LINC00637,1.9853666914724344,-0.6603684412434991,0.5299515939615717,-1.2460919992843429,0.2127306217624112,0.3426768182899741,False
RP11-430K21.2,1.183267461406398,-0.6284689076728414,0.5044849433364852,-1.2457634583033736,0.21285124865858407,0.3428419477108661,False
CTC-297N7.9,2.449218758656915,-0.4150559277450241,0.33317667662765454,-1.24575325003579,0.21285499751054093,0.3428419477108661,False
RAB23,196.9349362049511,-0.10102241850177436,0.08112116161187652,-1.2453275630484093,0.2130113679030744,0.34307619010017015,False
AC012360.6,38.23396089712253,0.2515392027009658,0.20200310363558838,1.2452244454359476,0.21304925924685025,0.34311959582894536,False
CNNM4,426.5453977583371,0.14130968708834377,0.11349140007362987,1.2451136121033506,0.21308999121560912,0.3431675717414626,False
NCKAP5-IT1,5.080845086697208,-0.37756941712928593,0.3032639272226775,-1.2450192167169563,0.21312468656513106,0.3432058216433455,False
RP11-501M7.1,4.5521339845682265,-0.4730269614766552,0.3800005974929251,-1.2448058360894079,0.2132031303776134,0.343314514436044,False
ELOVL1,2729.8695572825845,-0.11609312203854946,0.09326815527410243,-1.2447241150783732,0.2132331784907162,0.343345269946029,False
TMLHE-AS1,5.93696216200633,-0.4932236876854482,0.39628029706654627,-1.2446333853500229,0.2132665426123843,0.3433813614172805,False
RP11-489G11.3,5.58259339389747,-0.3672314975596487,0.29507174281992454,-1.2445498645519626,0.21329725911855746,0.34341318646462476,False
RP11-637A17.2,4.4391735386749716,-0.33498709122164005,0.2691827579503527,-1.2444596889204327,0.21333042666257818,0.3434489542655399,False
SNORA33,97.41197026712604,-0.2930359828587279,0.2354869707926849,-1.2443829986530648,0.21335863707699054,0.3434767381280505,False
RP11-831H9.3,1.6729541868906086,0.6233063140157931,0.5009376111648072,1.2442793276520956,0.21339677659865164,0.3435205027531295,False
CGGBP1,1584.6711948831276,-0.06383801987548803,0.05131136072587075,-1.2441303245988842,0.21345160194547397,0.3435911219079183,False
CTNND2,24.76903171454769,-0.3529153213384465,0.28373426420578307,-1.2438234145823457,0.2135645608439618,0.34375530606511534,False
RP3-331H24.6,9.84986758148648,-0.35341636054560077,0.28414545178198647,-1.2437867941548582,0.2135780419518729,0.34375936130213175,False
SETDB1,498.69520610951577,-0.052023786745171864,0.041829122269098774,-1.2437216925205334,0.2136020093858737,0.3437802932687195,False
DISC1-IT1,1.4148718656073072,0.6381719419145117,0.5132418053699802,1.2434137968446923,0.21371538873775087,0.3439451191017072,False
CCNG2,760.2743726884122,-0.15861109247730265,0.1275700547396974,-1.2433254246142913,0.2137479389027469,0.34397985138759907,False
RPL36AP48,1.5873130804707272,-0.6057588647040825,0.4872558669462796,-1.2432048658551462,0.21379235010758624,0.344033666839794,False
SLC25A3P2,5.403080115990771,-0.4323956902318934,0.347820273299055,-1.2431583878956953,0.21380947334713218,0.34404356735420316,False
CTD-2561B21.5,16.53460873186179,0.2919160915671944,0.2348240921082163,1.2431266696121954,0.21382115944892965,0.344044718333424,False
RP11-506N2.1,4.520693254525717,-0.48918256977071145,0.393522323738648,-1.243087215798194,0.2138356962281206,0.34405045578543236,False
RP11-363J20.2,2.8871018786762397,0.37059708808642916,0.2981594080816146,1.242949502988637,0.21388644217515818,0.34409679508608015,False
FAM185BP,58.59115187710622,-0.2370960068669618,0.1907515128506876,-1.2429574126237772,0.2138835273097327,0.34409679508608015,False
MICE,6.282462703328385,0.3580621538011514,0.2880880529348131,1.2428913665578893,0.21390786754114233,0.3441136106540589,False
RP11-284M14.1,5.960318162838975,-0.2910004646185923,0.23414987834360576,-1.2427957113501489,0.2139431232953758,0.34415267230279484,False
CYP3A5,592.5204391343004,-0.19788544542468467,0.15924255471787926,-1.2426668598432546,0.21399062087505472,0.3442114213501085,False
RP5-855D21.1,15.835626199135922,-0.2112924685613353,0.17005635135102065,-1.2424850167765706,0.21405766528340398,0.34430160451800523,False
CEBPG,1955.566689414511,0.08847648744598123,0.07123549252916865,1.2420281562558573,0.21422617376370123,0.3445549702138512,False
ARHGEF6,339.275254757492,-0.1376487374992863,0.11083582889864295,-1.2419155327936708,0.21426772850717868,0.3446041318008679,False
ZNF233,17.843540979036707,-0.2601722711712459,0.20949949163792603,-1.2418754295637942,0.21428252682229698,0.3446102585203709,False
AC005795.1,0.9188830776001258,0.5896770997485877,0.4749170265572621,1.2416423644004448,0.21436854375381198,0.3447309128823929,False
RP11-588K22.2,34.12670537633265,0.2433704222148082,0.19601417368933052,1.241596041929775,0.21438564286860318,0.3447407322510202,False
CHRNB1,124.9953907469466,-0.0903381649579608,0.07276707315744038,-1.2414703661710185,0.21443203878962436,0.34479765863931805,False
FKBP8,1364.8363927998446,0.08361975583348831,0.06736444803203111,1.2413039559639527,0.21449348385152756,0.3448787763322346,False
MIER3,644.6840255745262,-0.07655721060029072,0.061677778889340264,-1.241244609953392,0.21451539975643263,0.3448954337448713,False
SLC5A9,50.27513984480547,-0.1900923236139725,0.15315003297405402,-1.241216341404099,0.21452583962460015,0.3448954337448713,False
TMEM115,419.0839738467215,-0.06447243420757769,0.051951975528363635,-1.2410006270575487,0.21460551723129506,0.3450058451003954,False
DDX10,478.30859804758836,0.10659562266962101,0.08590015048909234,1.2409247488240034,0.21463354916406074,0.3450332223592857,False
MZF1,239.922539473354,-0.11894839450758113,0.09585937876578106,-1.240863398439237,0.21465621595817663,0.34503428664522906,False
FOXD2,6.100009825139007,-0.3101943839864476,0.24997888188456163,-1.2408823563331763,0.21464921150363347,0.34503428664522906,False
CTD-2047H16.2,2.6263943079704295,0.5976378689176665,0.4817126250302053,1.2406522849181962,0.214734228112618,0.3451243026656263,False
ACSM1,11.397176516407404,-0.2860926573698318,0.23059836627079444,-1.2406534443260961,0.21473379962424455,0.3451243026656263,False
RP11-235E17.3,2.1180026456218433,-0.5230194423946256,0.4215976662757943,-1.2405653167265986,0.21476637115406927,0.3451582739400201,False
MPL,4.573935236369893,-0.32210483531143475,0.25965339666126747,-1.2405184736775798,0.21478368556543181,0.345168411362711,False
HNRNPA1,8998.030615266096,0.11080310802542513,0.089327640698257,1.2404123422414222,0.2148229182317093,0.3452137697026084,False
CPNE4,7.107548669153599,-0.323028137069648,0.260447955282424,-1.2402790289498087,0.21487220629225467,0.34527528127306345,False
AL035422.1,1.5049212055031618,-0.6022940801269413,0.48568242845832343,-1.2400985599556735,0.21493894155636484,0.34536482078227193,False
RP1-40E16.9,1.8988173416490894,-0.49542830705792285,0.3995804856593286,-1.2398711269406473,0.21502306482426148,0.34548228880463366,False
ACKR1,114.93505351189938,0.21579101830863817,0.17407589928517336,1.2396375327932476,0.21510949167898397,0.3456034458247316,False
RP11-94A24.1,1.6261636598308127,0.5464880221288818,0.44085834023060505,1.2396000534843545,0.2151233608753068,0.3456080223898372,False
IMPG2,16.074864721049092,-0.22765964604460456,0.18367374851026083,-1.239478411537327,0.21516837884616147,0.34566263821605575,False
C3orf67,23.576564645654837,-0.16550365428197156,0.13355174112995344,-1.2392474473314958,0.21525387412520236,0.34578227090289654,False
CLIP2,411.7987593697517,0.08954425926208179,0.07226822467377134,1.239054365404669,0.21532536542448732,0.3458793965943719,False
BCL2L14,8.988419418454447,0.31677557445425625,0.2557085636388036,1.2388148834221746,0.2154140607627052,0.34600414594952034,False
PPP1R14D,3.278162764798121,-0.4131608233742625,0.3335250746985464,-1.2387698998274541,0.215430723971354,0.34601318841186485,False
LANCL2,485.7874299127094,0.07983092405179018,0.06444557549446137,1.2387339773023065,0.21544403136780665,0.34601684029982677,False
XLOC_008050,2.387104644663487,-0.5924800615786328,0.4783397736433506,-1.2386175982522099,0.21548714772020527,0.34606836444439176,False
EGFLAM-AS4,1.4683203159094034,0.6767758711661115,0.5464192088237252,1.2385652997503596,0.2155065254020605,0.34608176139945807,False
MIR4480,3.2113982051200325,0.570305073257873,0.4604768181990569,1.2385098461380941,0.21552707348900457,0.3460970364388951,False
RP11-569A2.2,1.4701360884103694,-0.5549453786244085,0.4480931866382297,-1.238459756078475,0.21554563534874216,0.3460994768421449,False
SLK,5425.522276315838,0.07357339613664741,0.05940782670863547,1.2384461814684233,0.215550665886605,0.3460994768421449,False
KRTAP10-7,1.3003675855070393,-1.1206531051880193,0.9050163096098159,-1.2382684083021354,0.21561655364369225,0.34618754465831403,False
RNU4-68P,1.185647339924437,-0.6653729157815671,0.537440747092334,-1.2380395780955809,0.21570138593512633,0.3463060186825148,False
ARHGAP20,52.347876872914085,-0.24130833963745843,0.1949222508547083,-1.2379722611418311,0.21572634635679033,0.3463106333119501,False
LAMC1,2205.555375105654,-0.11981461825462845,0.0967823910186104,-1.2379795228616448,0.21572365368701618,0.3463106333119501,False
CTB-186G2.4,6.508368351655764,0.4199478484669041,0.33925813342551653,1.2378416523921094,0.21577478064717348,0.34635292629858017,False
DNAJB9,389.40057968527213,0.12361854332357569,0.09986384542246773,1.2378708510634175,0.21576395207943855,0.34635292629858017,False
RP11-37L2.1,1.9545845461252476,-0.5123359614271795,0.4139200365746991,-1.2377655492758914,0.21580300595407553,0.3463805029542332,False
RDH11,1003.4956013337202,-0.14285080894099644,0.11541831604261595,-1.2376788523604139,0.2158351635545852,0.346414388099278,False
EGFEM1P,1.1921638152045784,0.6416899955621873,0.518693857311836,1.2371266528734053,0.21604006625585448,0.34672551063375623,False
AP001347.6,6.236927168365235,-0.3690854794540052,0.2983596062045828,-1.2370490903548328,0.21606885831856593,0.3467539735361664,False
FPR2,4.7551780672339286,0.508391707768746,0.41106654668917936,1.2367625433483822,0.21617525168648377,0.3469025509223778,False
ERICH3,1.9076430560867883,0.5117880976405638,0.41382022964954346,1.2367401614802338,0.21618356354196522,0.3469025509223778,False
AL136419.6,4.975152402220318,0.29455433281817095,0.23818966862593516,1.2366377371335684,0.21622160335465646,0.3469253748107817,False
RP11-85B7.4,1.1142417611891318,-0.7123376391066306,0.5760364035085445,-1.2366191351239217,0.21622851255096964,0.3469253748107817,False
B4GALNT4,46.66734318487597,0.24730726331224184,0.19998767780945448,1.236612505435824,0.21623097500164346,0.3469253748107817,False
CLEC2L,1.2927158997630737,0.5586645072511831,0.4518596587485926,1.2363673021804653,0.2163220644969267,0.34705376490630896,False
RNVU1-20,0.7608182236653386,0.6594787009291987,0.5334775526216862,1.236188285127089,0.21638858420914586,0.34712496806991733,False
RNU6-611P,2.728233075043687,0.4460272878121025,0.36080140334788896,1.2362127299766563,0.21637950004819606,0.34712496806991733,False
HEXIM1,864.0155698552655,0.09573611603466922,0.07745628409097535,1.2360019223517553,0.2164578491084641,0.3472183195929123,False
CYCSP2,2.981419579023199,-0.40592214887517414,0.32842735383155075,-1.2359571885214231,0.21647447757307925,0.347224335110405,False
TAS1R3,35.44248576973314,0.23796241160704587,0.1925367747930564,1.2359322620980546,0.2164837436249566,0.347224335110405,False
AC023271.1,9.10394032333215,-0.2950363004272103,0.23877426249129544,-1.23562856963265,0.2165966600104774,0.3473876774882919,False
