,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
MAP3K10,107.34425991681128,0.41475032978604665,0.10105593914602008,4.104165804513043,4.057763778091058e-05,0.003888760008364379,False
FAM63B,1534.260389543579,-0.29126662710999646,0.07101299880221457,-4.10159593346047,4.103103271885855e-05,0.003912045950302657,False
ZNF667,79.27412918817672,-0.6922320355133824,0.1688662461194349,-4.0992919036275834,4.144160920243139e-05,0.00393103264434492,False
UBE2R2,1156.9906463220636,-0.19074838904788027,0.04658097079014489,-4.094985265705041,4.2219523724569135e-05,0.003951628751332888,False
ADAM19,149.51533962890076,0.9637486724902249,0.23529961761873872,4.095836118407165,4.206474305815248e-05,0.003951628751332888,False
AC017074.2,12.614608946453686,-0.6941992950938999,0.16954169178135625,-4.09456392584044,4.2296370563427534e-05,0.003951628751332888,False
FAM102A,1017.4051254156602,0.4103790722915231,0.10036893265031281,4.088706150949031,4.337859394184417e-05,0.004032474092833834,False
DRGX,32.87490762874437,1.351432658163402,0.33072303041476686,4.0862973965512515,4.3831188809751756e-05,0.0040542759320940525,True
GPLD1,608.4589732951896,-0.45786879626147575,0.11213498000594951,-4.083193275079576,4.44210480949862e-05,0.004068474372344257,False
NKD2,103.30435505168649,0.5539431970030049,0.13566443760862715,4.0831864766288515,4.442234819201184e-05,0.004068474372344257,False
SLAIN1,54.2115334777457,-0.48497753828767803,0.11903051486246641,-4.074396711196658,4.613378260098055e-05,0.004153041796490435,False
CHRM4,40.40226106757878,-0.9492617578609097,0.23301255168329502,-4.0738653390274155,4.623922396049484e-05,0.004153041796490435,False
LNPEP,6266.554169439815,-0.2340378830618794,0.0574369486709343,-4.074692135940591,4.607525947546945e-05,0.004153041796490435,False
MID2,610.6279621277732,-0.2993951442647608,0.07347499427321931,-4.074789623684074,4.6055962777802244e-05,0.004153041796490435,False
RP1L1,44.39847245523928,-0.5319012456470281,0.13063747325457276,-4.071582467080591,4.669482470734472e-05,0.004173798946918043,False
TAZ,162.22519241462766,0.4603046783870529,0.11319394437215197,4.066513283375761,4.772176632042578e-05,0.004245182198226585,False
ZNF770,3934.6441944858097,-0.3048903192818639,0.07503696412709188,-4.063201687710393,4.840417127519758e-05,0.004285382630230826,False
IKBKB,966.5361760927593,0.37851622623147013,0.09347337377387614,4.0494550581553685,5.1337035033770725e-05,0.004505988771160906,False
C9orf3,1572.3310825259887,0.34172193153611286,0.08439128519055385,4.049256161516103,5.13806809103976e-05,0.004505988771160906,False
MFHAS1,974.2212780123621,0.4314766171669017,0.10673919880654738,4.042344536882874,5.2919397994323214e-05,0.004525140968990341,False
PSMB9,185.50822615408083,0.6135682679378099,0.15215061118439202,4.032637550132637,5.515431243539224e-05,0.004525140968990341,False
