,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
PPP6R2,847.9766455844385,0.24154185517362825,0.047347378899889464,5.101483139844772,3.370020475666513e-07,0.0001842806490693877,False
NUP210,364.1549775818615,0.534490282077517,0.10495877447318343,5.092383030959239,3.535908569236329e-07,0.00018782746319783382,False
C3orf58,1594.601654486402,-0.49038970336743876,0.09677449792350368,-5.067344330270481,4.03404166790291e-07,0.0002046167637787118,False
NRTN,71.44157299753087,0.8730811612816604,0.17235640789263132,5.065556726069288,4.072084907386153e-07,0.0002046167637787118,False
RP11-429E11.2,11.337912885850592,1.2987264004120438,0.2569896372386141,5.05361389029932,4.335275991144823e-07,0.0002066703877624732,True
FOLH1,54.47462786612812,1.1095840606605143,0.2195012891632177,5.0550229790925965,4.303389509121585e-07,0.0002066703877624732,True
SIRT7,342.0318873395664,0.3474312141862992,0.06894326195203618,5.039378821791273,4.6704522926150585e-07,0.00021708262256074791,False
BIRC3,552.6088212341905,1.0571361820887746,0.21040226325890518,5.024357465147332,5.051207774857731e-07,0.0002226908329579545,True
LRFN4,67.75088333542969,0.5368961462134997,0.10693817468144869,5.020621941723107,5.150444178782296e-07,0.0002226908329579545,False
SLC26A6,109.01905274534158,0.6474994889225308,0.12879992405275625,5.027172909335848,4.977635040921592e-07,0.0002226908329579545,False
LYPD2,128.77096444208422,1.1495236912931368,0.22949188849257326,5.008994866196925,5.471503250147108e-07,0.00023119588278803417,True
SPRR2A,802.2071898274914,2.8158720510411395,0.5637518134171546,4.99487892371089,5.887269078801951e-07,0.00023702908287779307,True
LINC00511,354.74931336264837,0.47525576010280285,0.0952135081371128,4.991474102796506,5.992021781011335e-07,0.00023702908287779307,False
CDH24,53.38944910289681,0.6100224262291243,0.12207458310404427,4.997128892172433,5.819017673307286e-07,0.00023702908287779307,False
ANKRD50,2178.3312844211982,-0.3598385285188164,0.07217942389740072,-4.985333895575395,6.185489965859188e-07,0.00023958464467761252,False
MMP12,197.73985508038797,2.768843691419896,0.5575821612622419,4.965803936682353,6.84170493297502e-07,0.0002593045766372132,True
CNGA1,108.3602955828034,-0.6122160499980986,0.12337844963392712,-4.962098744266834,6.973552512833833e-07,0.0002593045766372132,False
CYP2E1,271.1482140482694,0.6317085209069391,0.12763960893966061,4.949157445362969,7.453543555222152e-07,0.0002717181995660593,False
ASPN,552.238238559409,0.8150595738151886,0.16499613589129403,4.939870678863547,7.817439999076638e-07,0.0002795035470439093,False
XLOC_009602,11.95361655124369,1.7248192963138842,0.35026360900829173,4.924346269363806,8.464283972703917e-07,0.00028612357749183864,True
SPRR2F,71.34128898000498,2.960311090951438,0.6008355806363898,4.926990322071059,8.350588924187406e-07,0.00028612357749183864,True
S100A7A,896.6599781185098,3.0606384491403404,0.6208234527968131,4.929965895057842,8.22439733791272e-07,0.00028612357749183864,True
IRF1,466.06825624132705,0.6633951327852374,0.13481444952556,4.9208014060797085,8.619055414802226e-07,0.00028615263977143393,False
TNFRSF14,222.9382958064547,0.7401618216223439,0.1518868880122416,4.873112032966857,1.0985388384835919e-06,0.00035831638745766563,False
SLC35F5,3027.7186579138224,-0.3750162286578829,0.07763144877480661,-4.830725621851144,1.3603636295426229e-06,0.00042867594238061766,False
EIF4EBP2,4299.714198166096,-0.2074507583520146,0.04293281176300048,-4.831986302159595,1.3517755772276595e-06,0.00042867594238061766,False
RP11-350J20.12,10.45427393674431,1.4690724154696557,0.3064209385791257,4.794295136232355,1.632477911663695e-06,0.0005040203684834457,True
GPRIN1,171.7869531793949,1.0744203953171245,0.2243564270334759,4.788899562733772,1.6769838291358735e-06,0.0005040203684834457,True
UCKL1,257.56603436387417,0.26396204749421603,0.05512480111516404,4.78844444160006,1.6807908157257763e-06,0.0005040203684834457,False
ARIH1,2519.0279653307525,-0.23241894989493656,0.048840495143511624,-4.758734513481135,1.9481046442594076e-06,0.0005659243991573579,False
